config_hash,git_commit,source_hash,prior_id,data_hash,smoke,solver,axis,level,seed,image_id,sigma_true,sigma_assumed,mask_disagreement,mask_density,psnr,ssim,lpips,residual_assumed,residual_true,residual_gap,artifact
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,mask,0,0,0,0.03,0.03,0,0.25,22.6588457485,0.656826713866,0.224726319313,0.0395699590445,0.0395699590445,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-mask-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,mask,0,0,0,0.03,0.03,0,0.25,23.1382201625,0.650396083325,0.135672137141,0.0408819019794,0.0408819019794,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-mask-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,mask,0,0,0,0.03,0.03,0,0.25,2.33604757711,-0.00724050155615,0.527222752571,0.870035111904,0.870035111904,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-mask-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,mask,0,0,0,0.03,0.03,0,0.25,7.24931454504,0.0593822761791,0.577634990215,0.0227851085365,0.0227851085365,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-mask-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,mask,0,0,0,0.03,0.03,0,0.25,7.85417966392,0.0646982328517,0.574036538601,0.0675204768777,0.0675204768777,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-mask-0.0-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,zero_filled,mask,0.125,0,0,0.03,0.03,0.125,0.25,22.0668523547,0.621529749606,0.256686657667,0.0530316755176,0.0530316755176,0,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/zero_filled-mask-0.125-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,tv,mask,0.125,0,0,0.03,0.03,0.125,0.25,22.2850062239,0.600781207176,0.160961598158,0.0553691238165,0.0546687878668,-0.000700335949659,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/tv-mask-0.125-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,dps,mask,0.125,0,0,0.03,0.03,0.125,0.25,2.3365574353,-0.00724526045615,0.527229845524,0.883044362068,0.870103180408,-0.0129411816597,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/dps-mask-0.125-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,diffpir,mask,0.125,0,0,0.03,0.03,0.125,0.25,7.46657803773,0.0626030198195,0.626565694809,0.0465217195451,0.213718920946,0.167197201401,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/diffpir-mask-0.125-0-0.pt
e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d,uncommitted,795a99180e3da4d679d7fbf79b5646a6d30b5205e2278b687902ff70598fefb4,b5b3e9045b7173ecf10cee4f23e019c44afbf16f75553c483c60fbfb264f4d3f,ac6168d8c51a9220ff3b88b5de5c6038c357dcd1c8a36c2a1f201e2293e484e8,True,pigdm,mask,0.125,0,0,0.03,0.03,0.125,0.25,8.08118166553,0.0677022286996,0.613951385021,0.0818890333176,0.211441859603,0.129552826285,reconstructions/e75ec94982975b1bd629f4e6e9fe889b9ba3832874da19662175dc2e30465e0d/pigdm-mask-0.125-0-0.pt
